,Agent 1 Rewards,Agent 1 Rate,Agent 1 Test,Agent 2 Rewards,Agent 2 Rate,Agent 2 Test,Agent 3 Rewards,Agent 3 Rate,Agent 3 Test,Agent 4 Rewards,Agent 4 Rate,Agent 4 Test,Agent 5 Rewards,Agent 5 Rate,Agent 5 Test,Agent 6 Rewards,Agent 6 Rate,Agent 6 Test,Agent 7 Rewards,Agent 7 Rate,Agent 7 Test,Agent 8 Rewards,Agent 8 Rate,Agent 8 Test,Agent 9 Rewards,Agent 9 Rate,Agent 9 Test,Agent 10 Rewards,Agent 10 Rate,Agent 10 Test,Agent 11 Rewards,Agent 11 Rate,Agent 11 Test,Agent 12 Rewards,Agent 12 Rate,Agent 12 Test
21,-17.442259999999997,0.1,-16.06171400000025,-18.361119999999993,0.08,-16.80580400000026,-18.641379999999998,0.06,-15.505880000000273,-19.36124,0.04,-15.609758000000244,-18.481339999999996,0.08,-15.94965000000025,-18.240999999999996,0.06,-15.019108000003904,-16.96136,0.12,-15.421628000000227,-18.041119999999996,0.08,-15.657684000000263,-17.680879999999995,0.08,-16.141662000000252,-17.161179999999995,0.12,-16.085792000000275,-18.361339999999995,0.08,-16.549762000000253,-18.88101999999999,0.06,-15.565602000000226
22,-15.282539999999997,0.2,-16.06171400000025,-17.321439999999996,0.12,-16.80580400000026,-18.48164,0.08,-15.505880000000273,-17.921179999999996,0.08,-15.609758000000244,-19.280759999999994,0.04,-15.94965000000025,-18.921039999999994,0.06,-15.019108000003904,-18.840739999999993,0.06,-15.421628000000227,-17.20068,0.12,-15.657684000000263,-18.72154,0.06,-16.141662000000252,-19.281159999999996,0.04,-16.085792000000275,-17.681119999999996,0.1,-16.549762000000253,-18.200899999999997,0.08,-15.565602000000226
23,-17.00166,0.12,-16.06171400000025,-18.801139999999997,0.06,-16.80580400000026,-15.841779999999995,0.16,-15.505880000000273,-18.881699999999995,0.06,-15.609758000000244,-17.720899999999993,0.1,-15.94965000000025,-18.801539999999992,0.06,-15.019108000003904,-18.200899999999994,0.08,-15.421628000000227,-17.801039999999993,0.1,-15.657684000000263,-17.52068,0.1,-16.141662000000252,-17.961099999999995,0.08,-16.085792000000275,-18.481079999999995,0.08,-16.549762000000253,-19.120919999999998,0.04,-15.565602000000226
24,-13.841659999999996,0.22,-16.06171400000025,-17.36132,0.12,-16.80580400000026,-16.642319999999998,0.12,-15.505880000000273,-17.881079999999997,0.1,-15.609758000000244,-18.761119999999995,0.06,-15.94965000000025,-18.841279999999994,0.06,-15.019108000003904,-18.16068,0.1,-15.421628000000227,-17.24092,0.1,-15.657684000000263,-14.962159999999997,0.2,-16.141662000000252,-16.760979999999993,0.14,-16.085792000000275,-17.361459999999997,0.1,-16.549762000000253,-19.84087999999999,0.02,-15.565602000000226
25,-18.402759999999997,0.08,-16.06171400000025,-19.921639999999993,0.02,-16.80580400000026,-18.681759999999997,0.06,-15.505880000000273,-16.92103999999999,0.12,-15.609758000000244,-16.240859999999998,0.16,-15.94965000000025,-16.761099999999995,0.14,-15.019108000003904,-17.920859999999994,0.08,-15.421628000000227,-18.60109999999999,0.08,-15.657684000000263,-16.92108,0.12,-16.141662000000252,-20.400539999999996,0.0,-16.085792000000275,-17.561559999999997,0.12,-16.549762000000253,-18.761099999999995,0.06,-15.565602000000226
26,-15.283279999999998,0.2,-16.06171400000025,-19.44169999999999,0.04,-16.80580400000026,-16.523339999999997,0.14,-15.505880000000273,-17.322539999999993,0.12,-15.609758000000244,-17.481019999999997,0.1,-15.94965000000025,-17.920739999999995,0.08,-15.019108000003904,-19.400799999999993,0.04,-15.421628000000227,-18.121679999999994,0.08,-15.657684000000263,-15.041919999999998,0.18,-16.141662000000252,-18.480899999999995,0.08,-16.085792000000275,-15.161520000000003,0.2,-16.549762000000253,-17.48075999999999,0.1,-15.565602000000226
27,-15.723579999999995,0.16,-16.06171400000025,-15.481519999999998,0.16,-16.80580400000026,-17.201499999999996,0.12,-15.505880000000273,-16.24228,0.16,-15.609758000000244,-19.080959999999994,0.06,-15.94965000000025,-18.840799999999994,0.06,-15.019108000003904,-19.920799999999996,0.02,-15.421628000000227,-17.961559999999995,0.1,-15.657684000000263,-16.52194,0.14,-16.141662000000252,-17.521179999999998,0.1,-16.085792000000275,-17.641319999999997,0.1,-16.549762000000253,-19.240939999999995,0.04,-15.565602000000226
28,-18.00509999999999,0.1,-16.06171400000025,-18.481319999999997,0.08,-16.80580400000026,-14.762499999999998,0.2,-15.505880000000273,-15.84144,0.16,-15.609758000000244,-19.441199999999995,0.04,-15.94965000000025,-17.36085999999999,0.12,-15.019108000003904,-18.001179999999994,0.1,-15.421628000000227,-19.120879999999996,0.04,-15.657684000000263,-19.681459999999998,0.02,-16.141662000000252,-18.64093999999999,0.06,-16.085792000000275,-15.721039999999995,0.16,-16.549762000000253,-17.680899999999998,0.08,-15.565602000000226
29,-16.365179999999995,0.14,-16.06171400000025,-15.202399999999997,0.2,-16.80580400000026,-17.682819999999996,0.1,-15.505880000000273,-17.842539999999996,0.08,-15.609758000000244,-16.960939999999997,0.12,-15.94965000000025,-17.601139999999994,0.1,-15.019108000003904,-20.400979999999993,0.0,-15.421628000000227,-17.601719999999997,0.1,-15.657684000000263,-16.12384,0.14,-16.141662000000252,-19.041339999999995,0.06,-16.085792000000275,-17.722219999999997,0.1,-16.549762000000253,-17.200779999999995,0.12,-15.565602000000226
30,-18.043979999999998,0.08,-16.06171400000025,-14.881919999999997,0.2,-16.80580400000026,-14.28308,0.2,-15.505880000000273,-19.123439999999995,0.04,-15.609758000000244,-18.521079999999994,0.08,-15.94965000000025,-18.560939999999995,0.06,-15.019108000003904,-19.201039999999992,0.04,-15.421628000000227,-18.682299999999994,0.06,-15.657684000000263,-17.123979999999996,0.12,-16.141662000000252,-17.001279999999998,0.14,-16.085792000000275,-16.921999999999997,0.12,-16.549762000000253,-18.161080000000002,0.08,-15.565602000000226
